dark+clean_gas_11,dark+clean_gas_5,dark+clean_gas_7,light+clean_gas_11,light+clean_gas_14,light+clean_gas_5,light+clean_gas_7,light+used_gas_11,light+used_gas_5,light+used_gas_7,ocean_0
Abollifer,0,0,0,0,0,0,0,0,0,0,0.000516539961754089
Acineta,0,0,0,0,0,0,0,0,0,0,0.00017877901343841
Alexandrium,0.000574866129760329,0.000486495379579552,0.000169350136453336,0.000474030308371267,0,0.000486578869925706,0.000225186446844792,0.000513936920795215,0.000636148602818604,0.000406190393770889,0.0262313017989941
Alphamonas,0,0,0,0,0.000849004297457188,0,0.000511493904858244,0,0,0,0
Alveolata_XXXXX,0,0,0,0,0,0,0,0,0,0,0.000470176122694174
Amastigomonas,0,0,0,0,0,0,0,0,0,0,0.00018820697926142
Amphifila,7.72436480083982e-05,0.000274755583906049,0.000960663938163523,0.000870935759352525,0,0.000988690380413665,0.0134732726213007,0.000437612445873941,0.00146925151833935,0.00807570080090369,0.000323548985104183
Amphifilaceae_X,0,0,0.00015792023699521,0.000347999261378076,0,0.00637037585066815,0.00330202878868515,0.000191731651563872,0.00160261460116974,0.00227357764456176,0.000129891481863065
Amphora,0,0,0,0.000132477917398251,0,0.00143958902117082,0.000450980552531455,0,0.000721357721482624,0.000237155361290517,0.000187280166404858
Ancora,0,0,0,0,0,0,0,0,0,0,0.000919934428516589
Ancyromonadida_Group-1_X,0.00128597956134501,0.00450978864637715,0.00885247813325792,0,0.00246623284431923,0.00023711196795961,8.14287284125153e-05,0,0.00119234058781841,0,0.000780032352032961
Ansanella,0.000106588317729458,0,0,0,0,0,0,0,0,0,0.00217905460937515
Antetintinnidium,0,0,0,0,0,0,0,0,0,0,0.000264893991021906
Aplanochytrium,0.00731284929036536,0.00199769069704239,0.00663101224236613,0.00113166156575568,0.000454948669513353,0.0413115407288522,0.0295641144471357,0.00221984785614003,0.0133246540826651,0.00629369164211299,0.00338300894190011
ARMOP1_X,0,0,0,0,0,0,0,0,0,0,0.000182783832660928
Askenasia,0,0,0,0,0,0,0,0,0,0,0.00133426607053204
Aspidisca,0.166936934678191,0.201810586545401,0.227738115600272,0,0,0,0,0,0.00152279395680968,0,0.00774016627278933
Asterionella,0,0,0,0,0,0.000205507269708356,0,0,0.000863589963218012,0,0.000648463092093881
Atkinsiella,0,0,0,0,0,0,0,0,0,0,0.000111874027876823
Audouinella,0,0,0,0,0,0,0,0,0,0,0.000761916793307397
Bacillaria,0,0,0,0,0,0,0,0,0,0,0.000199266239422443
Bacillariophyceae_XXX,0,0,0,0,0,0.00200526490243053,0,0,0.00214571079204358,0,0.000934110802239712
Basal_Cryptophyceae-1_X,0,0,0,0,0,0,0,0,0,0,0.000260314449347688
Bathycoccus,0,0,0,0,0,0,0,0,0,0,0.000517628172814473
Berkeleya,0,0,0,0,0,0,0,0,0,0,6.70497190059927e-05
Bicoecaceae_X,0,0.000558485199313105,0.000661464442861629,0.000525439438600634,0,0.00598091392779398,8.41535005051449e-05,0.000248776209776855,0.0059174622494698,0,0.000124596537659829
Bicoecea_XXX,0.000305753862987847,0.00134863835880463,0.00119688481592554,0.00395645919500064,0,0.319258426105059,0.00408190339530679,0.00375855043299831,0.208384170979066,0.00414038218387957,0.00204476541971851
Bicosoeca,0,0.000995999313251237,0.000143843042379729,0,0,0.00100688463320015,7.72323673290522e-05,0.000105270197861378,0.00103887712655744,0,5.59266379324255e-05
Biecheleria,9.40905445017028e-05,0.000282434722251475,0.000203220163744003,9.90902466009063e-05,0,0,6.56708449215012e-05,6.75302002800674e-05,0,0,0.00868972891973926
Biecheleriopsis,0,0,0,0,0,0,0,0,0,0,0.000638926345295086
Borokaceae_X,0,0.000119964260324904,0.000501331151223462,0,0,0,0,0,0,0,0
Caecitellaceae_X,0.000153145924932322,0.0164387038570912,0.000132976141043732,0,0,0.00055575448177898,0,0,0.000774260916913778,0,8.67268028503092e-05
Caecitellus,0.00280131054559305,0.0959816604730137,0.0128879964148757,0.000319900731504446,0,0.0114597282638192,0.000210526190659242,0.000273129408937144,0.0224189761218041,0.000350632729370526,0.000968033829130532
Cafeteria,0.000521109620447701,0.00533164709427641,0.0291267619832657,0.000664180117103581,0,0.032002894105516,0.00032460572858844,0.000486380292640053,0.0208389006782511,0.000505562332230316,0.000368899968574303
Cafeteriaceae_X,0,0,0,0,0,0.000305757503103867,0,0,0.00042330050430225,0,0
Callithamnion,0,0,0,0,0,0,0,0,0,0,0.000845522673003987
Carchesium,0.000186383161621972,0,0,0,0,0,0,0,0,0,0
Catena,5.65727258666925e-05,0,0,0,0,0.000337900884028015,0,0,0.00017828436740802,0,0
CCW10-lineage_X,0,0,0,0,0,0,0,0,0,0,0.00109740261169112
Centroplasthelida_XXXXX,0,0,0,0,0,0,0,0,0,0,0.000264431381564019
Ceramium,0,0,0,0,0,0,0,0,0,0,0.00265466455849129
Cerataulina,0,0,0,0,0,0,0,0,0.000360774441909217,0,0.00014211759576108
Ceratium,0,0,0,0,0,0,0,6.10959119675561e-05,0,0,0.00279117380466139
Cercozoa_XXXX,0,0,0,0,0,0,0,0,0,0,0.000324438288595765
Chaetoceros,0.000174310476615819,0.000126677021646052,0,0.000341230847042712,0,0.0122436638568985,0.000437480280799281,0.0005644564452887,0.0374091605885302,0.0007883211431483,0.00605124149171244
Chara,0.000399313084149672,0.000458479784932188,0.000496210882009279,0.000426596645375969,0.000231829413601228,0.000791305302605106,0.000582083750233758,0.000530634334682055,0.00065084508779737,0.000439138306756456,0.000856842534011784
Chelonemonas,7.02376028455497e-05,0.000468330472699277,0.000847346906954412,0,0,0.000617956035751335,0,0,0.00067289339119908,0,0
Chlamydaster,0,0,0,0,0,0,0,0,0,0,0.000225864645789839
Chlamydodon,0.00120892305669063,0.0010926902426893,0.00104285986637732,0.0016572630161933,0.00363374814766451,0.00147806379998818,0.000736381124838951,0.00138604167820791,0.00166151629360758,0.00147593905376849,0.0730826577097752
Chlamydodon_1,0,0,0,0.000104702588548458,0.000300153565687986,0,0.000122466443678977,0,0,0,0.00558768993279793
Chlamydomonadales_XX,0.0198129214543459,0.000740889523492732,0.00229460026836489,0.0054917079926851,0,0.00601579926688712,0.00339445656098928,0.160843124896752,0.0269921719202355,0.0458881429305384,0.00239050450894532
Chlamydomonas,0.113293970348953,0.00367628049946105,0.0151075988922888,0.486380099810709,0.00010526716645492,0.0716771601089188,0.156051408614336,0.0117482572576734,0.0110994902376775,0.0141732119869529,0.0120786598359681
Chlorella,7.94764589305344e-05,0,0,0,0,0,0,0.00114977227159893,0,0,0
Chlorellales_XX,0.000489814295679779,0,0,0.000451662786865577,0.000591687589335588,0.00469029991122069,0.000504132693865607,0.000418878704419987,0.00462592761402638,0.00056581499287982,0.00070636483986283
Chlorococcum,0.00514737622217359,0,0.001214515537573,0.00195305976817354,0,0.0172536418682092,0.00291818835096803,0,0.0010855724829357,0,0.000141158785223138
Chlorodendrales_XX,0.00475335680046977,0.00160484937363989,0.000760098722966036,0.0149470583797049,0.00510256007981588,0.00496469761454291,0.0189569872815229,0.0422373683011367,0.00533141498181222,0.0211667699488186,0.013928226231538
Chloromonas,0,0,0,0,0,0,0.000308847458474315,0.000101241721318723,0,0,0
Choreotrichida_XX,0.000103873700340123,0.00379650511915409,0.000211687862207736,0,0,0,0,0,0.000905463416557252,0,0.00266437033281112
Chrysastrella,0.000257954394301753,0,0.000152416276259965,0,0,0,0,0,0,0,0
Chrysochromulina,0,0,0,0,0,0,0,0,0,0,0.00208537681533352
Chrysophyceae_Clade-EC2H_XX,4.6825068563697e-05,0,0.0051178745766515,0,0,0,0,0,0,0,0.00138884243883515
Cinetochilum,3.70569160901765e-05,0.00209734062387952,0.00254698488146295,0,0,0,0,0,0,0,0.000131155473419482
Cochliopodium,0.000178531780180222,7.19785600262791e-05,0.000363998815468084,0,0,0,0,0,0.000127193411941584,0,0
Colaconema,0,0,0,0,0,0,0,0,0,0,0.000103083333381568
Colpodellidae,0,8.15764158064529e-05,0,0,0,0,0,0,0,0,0.00026261763602649
Colpodellidae2,0,0,0,0,0,0,0,0,0,0,0.00057724085702762
CONThreeP_XXX,0,0.000515662422327345,9.34704986275866e-05,0,0,0,0,0,0,0,0
Coscinodiscophyceae_XXX,0,0,0,0,0,0,0,0,0,0,0.000837652566945012
Crustomastix,0,0,0,0,0,0,0,0,0,0,8.86071135317212e-05
Cryomonadida_XX,0,0,0,0,0,0,0,0,0,0,0.000300412185036273
Cryothecomonas,0.000113718035207807,0.000204310170918004,0,0,0,0,0,0,0,0,0.00636900898311454
Cryptomonadales_XX,0,0,0,0,0,0,0,0,0,0,0.00383809638875189
Cunea,0.00017204560206144,0,0.00025409633549856,0,0,0,0,0,0,0,0
Cyclidium_3,0,0,0.000152951725029294,0.000960094326792555,0,0,0,0,0,0,4.4428982387549e-05
Cyclotella,0,0,0,0,0,0.00139299947555772,0.000178248670938989,0,0.00217096799288175,0,0.000507749191930668
Cylindrotheca,0,0,0,6.0555150700554e-05,0,0.000952587361166699,0.000660750735188881,0,0.002151483025116,0.000416036469168917,0.00122031130422491
Cymbella,0,0,0,0.000132477917398344,0,0.000783960205005432,0.000400367580971319,0,0.000635686853823442,0.000664256125591517,0
Cymbomonas,0,0,0,0,0,0,0,0,0,0,0.000480973963297169
Dermamoebidae_X,0,0,0,0,0,0,0,0,0,0,0.000178573296666435
Developayella,0,0,0,0.000159757071380225,0,0.000298921332100369,0,0,0.000219936388465818,0,0
Dino-Group-I-Clade-1_X,0,0,0,0,0,0,0,0,0,0,0.000642682291322063
Dino-Group-I-Clade-4_X,0.000322352589337945,0.000630258847607625,0.000185953651726632,0,0.000170769985496084,0,8.16244324984167e-05,0,0,0,0.0150094767694845
Dino-Group-II_XX,0,0,0,0,0,0,0,0,0,0,0.00115169454086843
Dino-Group-II-Clade-1_X,0.000520471233210784,0.000458967321810316,0.000373147965677519,0.000104595260300956,0,0.000177815787027506,7.81837631076782e-05,0.000179914896017612,0.000190844078731285,0.000257541258021905,0.0161308442724779
Dino-Group-II-Clade-2_X,0.000987748525746522,0.000945915965726071,0.000738112543789431,0.000259264339004438,0,0.000215250689559612,0.000174192620742879,0.000305156347766167,0.000361125978608193,0.000267458074739721,0.0311522230729611
Dino-Group-II-Clade-22_X,0,0,0,0,0,0,0,0,0,0,0.000704206368620358
Dino-Group-II-Clade-32_X,0,0,0,0,0,0,0,0,0,0,0.00183966740818265
Dino-Group-II-Clade-39_X,0,0,0,0,0,0,0,0,0,0,0.00354915552191962
Dino-Group-II-Clade-50_X,0,0,0,0,0,0,0,0,0,0,0.000351287255408409
Dinophyceae_XXX,0,0.000356228460716205,0,0,0,0.000138153879671182,0,0,0,0,0.0152686716132923
Dinophysis,0,0,0,0,0,0,0,0,0,0,0.00222127913388246
Dinovorax,0,0.000534690830795208,0,0,0,0.000402450289912497,0,0,0,0,0.00201705842304268
Diophrys,0,0,0,0,0,0,0,0,0,0,0.00116019052233095
Duboscquodinium,0,0,0,0,0,0,0,0,0,0,0.000206831033150252
Dunaliella,0,0,0,0.00017511599298736,0,0,0,5.03834028173922e-05,0,0,0
Dysteria,0,0,0,0,0.000111657298208978,0,5.65315003502538e-05,0,0,0,0.00237558218980654
Dysteria_2,0,0,0,0,0,0,0,0,0,0,0.000528333620272031
Ebria,0,0,0,0,0,0,0,0,0,0,0.00054064491852786
Emiliania,0,0,0,0,0,0,0,0,0,0,0.0023944001025056
Entamoeba,0,0,0,0,0,0,0,0,0,0,0.000509597877650286
Entomoneis,0,0,0,0,0,0,0,0,0,0,0.000156702569773437
Entorhipidium,0,9.20242366077255e-05,0.000257735701142158,0,0,0,0,0,0,0,0
Erythrocladia,0,0,0,0,0,0,0,0,0,0,0.000151567625028629
Eucampia,0,0,0,0,0,0,0,0,0.00040336963203411,0,0.000601854965292198
Euglena,0,0.000156240483247071,9.31425750493349e-05,0,0,0,0,0,0,0,0.00037777253970825
Euplotes,0.00192823954331254,0.0117803359289572,0.0205225734439182,0.00242577312768187,0,0.000604711208955485,0.000409583424192788,0.00118691536589512,0.00567239972454273,0.000445772123036067,0.00415659094134367
Eutintinnus,0,0,0,0,0,0,0,0,0,0,0.00104101247454797
Eutreptia,0,0,0,0,0,0,0,0,0,0,0.000113558470453458
Eutreptiella,0,0,0,0,0.000105091050713292,0.00101074236836687,0.000188014444534374,0,0.000318120338116252,0,0.0029229615739572
Falcomonas,0,0,0,0,0,0,0,0,0,0,0.00134051063981594
Fibrophrys,0,7.19785601245273e-05,0,0,0,0.000421142653486199,0.000357538243682403,0,0.000327532302665529,0.000386319603398224,0.00112021256143582
Filosa-Imbricatea_XXX,0,0,0,0,0,0,0,0,0,0,0.000571671842164032
Fistulifera,0,0,0,0,0,0,0,0,0,0,0.000410695527721293
Flabellula,0.0044194645070369,0.00639556339662001,0.0522164375824078,8.25752055007553e-05,0,0.00116048177009076,0.000377224623490196,7.06709610352105e-05,0.00395957193232336,0.00112778252103461,0.000578937910946052
Frontonia,0,0,0,0,0,0,0,0,0,0,0.00104395177085583
Frontonia_1,0,0,0,0,0,0,0,0,0,0,0.00432093859539401
Gregarinomorphea_X_GRE1_XX,0,0,0,0,0,0,0,0,0,0,0.00244158201906986
Gregarinomorphea_X_GRE5_XX,0,0,0,0,0,0,0,0,0,0,0.000266630824399368
Gregarinomorphea_X_GRE6_XX,0,0.000150231234129893,0,0,0,0,0,0,0,0,0.000886422633014961
Gruberia,0,0,0,0,0,0,0,0,0,0,0.000253873302683459
Guinardia,0,0,0,0,0,0,0,0,0,0,0.000910846835681346
Gymnodinioides,0,0,0,0,0,0,0,0,0,0,7.52924085499492e-05
Gymnodinium,0.00241442644641991,0.000882419158121463,0.000606020996695895,0.000186716231995304,0,0,9.73876996071704e-05,0.000244101054617771,0.00051446906595641,0,0.0154739494189559
Gymnoxanthella,0,0,0,0,0,0,0,0,0,0,0.000944725636668065
Gyrodinium,0,0,0,0,0,0,0,0,0,0,0.00677035738099395
Halamphora,0,0,0,0,0,0.000664259916303751,4.69075449816763e-05,0,0.000147837034534775,0,0
Haliphthorales_X,0,0,0,0,0,0,0,0,0,0,0.000617079789931949
Haliphthoros,0,0,0,0,0,0,0,0,0,0,0.00224189440743597
Halocafeteria,0,0,0,0.000130826959827218,0,0.00230041451305298,0.000105049311220503,0.000181622819914358,0.00241678390173266,0.000128017834686959,0.00117736859504032
Halocrusticida,0,0,0,0,0,0,0,0,0,0,8.00942980278234e-05
Halodaphnea,0,0,0,0,0,0,0,0,0,0,0.000107366791803338
Haptolina,0,0,0,0,0,0,0,0,0,0,0.000496900648663859
Haptophyta_Clade_HAP3_XXX,0,0,0,0,0,0,0,0,0,0,0.000339192773692972
Haptophyta_Clade_HAP5_XXX,0,0,0,0,0,0,0,0,0,0,0.000139856631943375
Haslea,0,0,0,0,0,0,0,0,0,0,0.000211509565552534
he2-lineage_X,0.000208663979453654,0.000202922117242814,0.00130451097252413,0,0,0.000271403043357771,0,0,0,0,0.000105055243660506
Helicosporidium,0,0,0,0,0,0,0,0,0,0,0.000117662551845605
Heterocapsa,0.00260636738130218,0.00247098848186273,0.00163833214674105,0.000923089456326801,0,0.000900699150976393,0.000450937458027966,0.000854975979692838,0.00135921851646113,0.000774726062694475,0.0733991374309717
Holosticha,0,0,0,0,0,0,0,0,0,0,0.000102510635661722
Hyalophysa,0,0,0,0,0,0,0,0,0,0,0.000369222275445621
Hyalosira,0,0,0,0,0,0.000243711560676938,0,0,0.000448935104238633,0,0.000385006591813242
Kathablepharidida_XX,0,0,0,0,0.00022988267278319,0,0.000134839093652528,0,0,0,0.00635262776779614
Kathablepharis,0,0,0,0,0,0,0,0,0,0,6.83957010424213e-05
