dark+clean_gas_11,dark+clean_gas_5,dark+clean_gas_7,light+clean_gas_11,light+clean_gas_14,light+clean_gas_5,light+clean_gas_7,light+used_gas_11,light+used_gas_5,light+used_gas_7,ocean_0
Kipferlia,0,0,0,0,0,0,0,0,0,0,9.73994612942183e-05
Kryptoperidinium,0.000533420567437067,0.00187258918944443,0.000398777799580403,0.000410634603560562,0,0.00508920953286498,0.000587424897502184,0.000363709478150355,0.00432067123612053,0.000643865975059563,0.0193737094353598
Laboea,0,0,0,0,0,0,0,0,0,0,0.000662172074552042
Labyrinthula,0.000667240717927609,0.000126194000148326,0.00055038794347334,0,0.000375009577628825,0.000102945981584881,0,0,0,0,0.00128239696807161
Labyrinthulomycetes_LAB16_X,0,0,0,0,0,0,0,0,0,0,0.00033706792363356
Lacrimia,0,0,0,0,0,0,0,0,0,0,0.000115398832164072
Lagenidium,0,0,0,0,0,0,0,0,0,0,0.00103676154443971
Lecudina,0,0.000101969626843062,0,0,0,0,0,0,0,0,0.000843346542033857
Lecudinidae_X,8.39899722460994e-05,0.000180277483950556,0.000228622684212003,0,0,0,0,0,0,0,0.00245523962707116
Lepidodinium,0.00132292460675777,0.00127643572863021,0.00113609809557664,0.00084318294464144,0,0.0010057083897801,0.00034404107835783,0.00090095091936437,0.000802419526360919,0.000832397017710624,0.0588335825076794
Leptocylindrus,0,0,0,0,0,0,0,0,0,0,0.000379357517839517
Leptomitales_X,0,0,0,0,0,0,0,0,0,0,0.00124609920685281
Leptosiphonia,0,0,0,0,0,0,0,0,0,0,0.00204935484885651
Leucocryptos,0,0,0,0,0,0,0,0,0,0,0.000128748623499574
Licmophora,0,0,0,0,0,0,0,0,0,0,0.000904799735230165
Lithocolla,0,0,0,0,0,0,0,0,0,0,0.000115225942873234
Luciella,0,0,0,0,0,0,0,0,0,0,0.00012503408696841
Mamiella,0,0,0,0,0,0,0,0,0,0,0.000186251740983303
Mantoniella,0,0,0,0,0,0,0,0,0.000138194126553898,0,0.000203254383559525
Marimonadida_XX,0,0,0,0,0,0,0,0,0,0,0.000109723934014275
Marsupiomonas,0,0,0,0,0,0,0,0,0,0,0.000462158858330534
Massisteria,0,0,0,0,0,0,0,0,0,0,0.000349622434924852
MAST-12A,5.73857436271079e-05,0.000186443941526605,0,0,0,0,0,0,0,0,0.00912367542793723
MAST-12B,0,0,0,0,0,0,0,0,0,0,0.00235665754267282
MAST-1C,0,0,0,0,0,0,0,0,0,0,0.00461837772873566
MAST-2B,0,0,0,0,0,0,0,0,0,0,0.000109928442225404
MAST-3J,0,0,0,0,0,0,0,0,0,0,0.00129486118693358
MAST-4D,0,0,0,0,0,0,0,0,0,0,0.000421493803585223
MAST-6_X,0.000153853796706606,0,0,0,0,0,0,0,0,0,0.00401530593655982
MAST-7A,0,0,0,0,0,0,0,0,0,0,0.000217311678029215
MAST-9D,0,0,0,0,0,0,0,0,0,0,0.000952451956802078
Mataza,0,0,0,0,0,0,0,0,0,0,0.00121645073277823
Mataza-lineage_X,9.36501371273944e-05,0.000372572680356956,0,0,0.000131361527546099,0,0,0,0.00140051197666208,0,0.00607528268264108
Mayorella,0.000317341689389406,0,0,0,0,0,0,0,0,0,0
Mediophyceae_XXX,0,0,0,0,0,0,0,0,0,0,0.000289267130419209
Mesodinium,0.000120661530818223,0,0,0,0.000467217175941572,0,0.000310881222014045,0,0,0,0.0160569228015544
Micrometopion,0.000191940722380299,0.000848150236360089,0.00296352555254685,0,0,0,0,0,0,0,0
Micromonas,0,0,0,0,0,0,0,0,0,0,0.00468938298698562
Ministeria,0.00297256429310773,0,0.000160882629630669,0,0,0,0,0,0,0,0
Minorisa,0,0,0,0,0,0,0,0,0,0,0.000115703629431901
Minutocellus,0,0,0,0,0,0.00163732797017918,0,0,0.00151621803122416,0,0.00117393733328453
Moneuplotes,8.79146697823359e-05,0,0.000955737168390854,0.000491280658698357,0,0.000434111252909571,0.000229295708336524,0.000170802898863805,0,0,0
Monocystis,0,0.000399435307263893,0,0,0,0,0,0,0,0,0.00127973955794848
Mychonastes,0,0,0,0,0.0013384335512865,0,0.00102647350719525,0,0,0,0
Nannochloris,0.105908874307473,0.00564157301570871,0.00586569227841149,0.102323417655296,0.0426235537930939,0.0283297263815485,0.0511031246790517,0.275072194241872,0.0794856715434212,0.183684690745493,0.0282834460428817
Nannochloropsis,0.000452965431520837,0,0,0,0.00111756506398914,0.00023027092939227,0.000491858155775597,4.83871385921234e-05,0.000216565123100361,0,0
Nanofila,0,0.000246246321992077,0.000231303272633342,0,0,0,0,0,0,0,8.94418867439716e-05
Navicula,0,0,0,0,0,0,0,0,0,0,0.000726627447073975
NC12B-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000408437346258181
Nemogullmia,9.61538964226373e-05,0,0,9.47460696714704e-05,0,0.000137497428901367,9.7590588861498e-05,0.000174653026471533,0.000186234490762044,0.000117694766458753,0.00022682843195974
Neobodo,0,0.000306361357020403,0.000541920436650674,0,0,0,0,0,0,0,0
Neosiphonia,0,0,0,0,0,0,0,0,0,0,0.000989723405380688
Notosolenus,0,0,0,0,0,0,0,0,0,0,0.000375757287552549
Novel-clade-2_X,0,0,0,0,0,0,0,0,0,0,0.00472009422044599
Novel-Gran-1_X,0.000470484987544517,7.50856699866662e-05,0.000119532888085842,0,0,0,0,0,0,0,0
Novel-Gran-2_X,0.0451629476512415,0.00296309100469795,0.0397310904234129,0,0,0,0,0,0,0,0.00100497540646566
Novel-Gran-234_X,0.00466007698422851,0.00101443517509436,0.00550004248180818,0,0,0,0,0,0,0,0.000238590199108713
Novel-Gran-6_X,0.00265493035795342,0.000409853970124883,0.000817767122930395,0,0,0,0,0,0,0,0.000315280778090297
Novistrombidium,0,0,0,0,0,0,0,0,0,0,0.000226171273722065
Oblongichytrium,0,0,0,0,0,0,0,0,0,0,0.00135115022365869
Ochromonadales_XX,0.00167544613637595,0.00190735005189159,0.0525614853997163,0,0,0,0,0,0,0,0.00148964201729262
Oligohymenophorea_XXX,0,0,0,0,0,0,0,0,0,0,0.000416547207463224
Olpidiopsis,0,0,0,0,0,0,0,0,0,0,0.00130049964648768
Omegastrombidium,0,0,0,0,0,0,0,0,0,0,0.00028061989721628
Ostreococcus,8.3233791795145e-05,0,0,0,0,0,0,0,0,0,0.00855508487510778
Ovulinata,0,0,0,0,0,0,0,0,0,0,0.000142702629056913
Paraflabellula,5.71132228829966e-05,0,0.00062580562062671,0,0,0,0,0,0,0,0
Paragymnodinium,0,0,0,0,0,0,0,0,0,0,0.000799284855052902
Paramoeba,0.000322798005449443,0,0.00127426379626734,0,0,0,0,0,0,0,0
Paraphysomonas,0.0747692893733859,0.00308595364884255,0.0229186572347414,0.000154140380181739,0,0.00428273824892459,0.00010632376862515,0.000200379642006974,0.00253458946612453,0,0.0187763810107009
Parmales_env_3_X,0,0,0,0,0,0,0,0,0,0,0.000188311308975665
Parmales_env_3A,0,0,0,0,0,0,0,0,0,0,0.000172150132567172
Parvamoeba,0.000372825268910669,0.00168734718062229,0.0031278797637302,0,0,0.00549807581201724,0.000634875402912679,0,0.00274602994618199,0.00172933037065045,0.000160937133516595
Paulinella,0,0,0,0,0,0,0,0,0,0,0.00102987979871977
Paulsenella,0,0,0,0,0,0,0,0,0,0,0.000330200678460661
Pedospumella,0,0,0.00104772365986971,0,0,0,0,0,0,0,0
Pelagodinium,0,0,0,0,0,0,0,0,0,0,0.00443155073046107
Pelagostrobilidium,0,0,0,0,0,0,0,0,0,0,0.000519667601591318
Penardia-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000232786504229353
Pentapharsodinium,0,0,0,0,0,0,0,0,0,0,0.000867703915694737
Peregrinia,0,0,0,0,0,0,0,0,0,0,6.97733498457173e-05
Peritromus,0,0,0,0,0,0,0,0,0,0,0.000105124105213755
Perkinsida_XXX,0.00885809944826866,0.000120185012328191,0.000177817679318287,0,0,0.00489920999995082,0,0,0,0,0.000558282296860822
Peronosporomycetes_XXX,0,9.59716167654306e-05,0,0,0,0,0,0,0,0,0.00486131990221939
Petalomonas,0,0,0,0,0,0,0,0,0,0,0.000167755980470488
Phagomyxa,0,0,0,0,0,0,0,0,0,0,0.000281143847335448
Philasterida_X,0.00624392437907193,0.0806997563297041,0.107934750039569,6.05551507881921e-05,0.000648261783709114,0,0,0.000119786860563789,0.00719609283181711,0.00017770911830416,0.00137734436737203
PHYLL_2_X,0,0,0,0,0,0,0,0,0,0,0.000553920375699399
Picochlorum,0.329270253449861,0.0141721002237569,0.0304777947622372,0.318601094432913,0.642456407951397,0.24775504164963,0.47882489662685,0.338054213639719,0.425292837601635,0.536804292461713,0.121747150930316
Picomonas,0,0,0,0,0,0,0,0,0,0,0.000182972198428962
Picozoa_XXXXX,4.6825068563697e-05,0,0,0,0,0,0,0,0,0,0.00373738406435356
Pirsonia,0,0,0,0,0,0,0,0,0,0,0.000279597192820029
Placidae_X,0,0,0,0,0,0,0,0,0,0,0.000385572291468533
Plagioselmis,0,0,0,0,0,0,0,0,0,0,0.000324130822766502
Pleuronema,0,0,0,0,0.00012525137946033,0,0,0,0,0,0.00483010413962067
Pleurosigma,0,0,0,0,0,0,0,0,0,0,0.000368736644691426
Pleurostomatida_X,0,0,0,0,0,0,0,0,0,0,0.000320041485147916
Polykrikos,0,0,0,0,0,0,0,0,0,0,0.000211702182716183
Polysiphonia,0,0,0,0,0,0,0,0,0,0,0.00119754643076048
Prorocentrum,0.000218269896353726,0.000105257583359224,0,0,0,0,0,0,0,0,0.000604054089827914
Protaspa,0,0,0,0,0,0,0,0,0,0,0.00461004281047845
Protaspa-lineage_X,0,0,0,0,0.000131361527363898,0,0,0,0,0,0.00752043463111701
Proterythropsis,0,0,0,0,0,0,0,0,0,0,0.000228287286460411
Pseudendoclonium,0,0,0,0,0,0,0,0,0,0,0.00013664578282032
Pseudocohnilembus,0,0.00023436097350849,0.000143947615985335,0,0,0,0,0,0,0,0
Pseudovorticella,0.000106188657614096,6.65028930450636e-05,0,0,0,0,0,0,0,0,0.000123316927318177
Pterocystida_XXX,0.000121556094201294,0.000401880294792195,0.00103668537619208,0,0,0,0,0,0,0,0.000100492807082551
Pterosperma,0,0,0,0,0,0,0,0,0,0,0.000154190254668856
Pycnococcus,0,0,0,0,0,0,0,0,0,0,0.000255896460200548
Pyramimonas,0,0,0,0,0,0,0,0,0,0,0.00149799936125142
Pythium,0,0,0,0,0,0,0,0,0,0,0.00132993650038381
Quadricilia,0,0,0,0,0,0,0,0,0,0,7.9893131852259e-05
Reckertia,0,0,0,0,0,0,0,0,0,0,0.000676399177470276
Rhizosolenia,0,0,0,0,0,0,0,0,0,0,7.31975396224455e-05
Rhodomonas,5.35143640727967e-05,0,0,0,0,0,0,0,0,0,0.00366626675028137
Rhytidocystidae_X,0,0,0,0,0,0,0,0,0,0,7.84645111949839e-05
Rimostrombidium,0.0130446194054153,0.491885441525716,0.0132916604979339,0.00113202120641477,0,0.0787514417762772,0.000564778555976635,0.000914044193795147,0.00392497779894313,0.00114904111617526,0.0339911671836451
Scenedesmus,0.000345288254841836,0,0,0.000712917111505281,0,0.0012813197645894,0.000526290789476787,0.000348891588826004,0,0,6.56592761314426e-05
Scherfellia,9.06808925533733e-05,0,0,0,0,0.000299326544408799,3.48986612928573e-05,0,0.000309624051351757,0,0
Schottera,0,0,0,0,0,0,0,0,0,0,0.00139316569236288
Scrippsiella,0,0,0,0,0,0,0,0,0,0,0.000348454047261754
Selenidium,0,0,0,0,0,0,0,0,0,0,0.000160285746100139
Selenidium1,0,0,0,0,0,0,0,0,0,0,0.000137992405703069
Seminavis,0,0,0,0,0,0,0,0,0,0,0.000472227174676508
Sessilida_X,0.00158831459313935,0.000314318094837547,0.000812880654976011,0,0,0,0,0,0,0,0
Sey055-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000598032680008022
Skeletonema,0.000157463897081101,0.000288090816689221,0.000110077588731885,0.000182069682690172,0,0.000131022158862373,6.88200932889967e-05,0.00013171909042163,0.000159036734882201,0.000168395713711228,0.011955745694027
Spiniferites,0,0,0,0,0,0,0,0,0,0,0.00116473110855662
Spongiococcum,0,0,0,0.000136309144355326,0,0,0,0.000333858301187486,0.000904636705021666,0.000789667371390803,0
Spumella,0.00188200768647691,0.00610157068908387,0.276340854612295,0,0,0,0,0,0,0,0.00175239944447542
Stichococcus,0,0,0,7.90333206341224e-05,0,0,3.3583884536291e-05,0,0,0,0
Stramenopiles_X-Group-3_XXX,0,0,0,0,0,0.000406626749932606,0,0,0.000230684785068529,0,0
Stramenopiles_XXXXX,0,0,0,0,0,0,0,0,0,0,8.3627882227694e-05
Strobilidiidae_X,0,0.000461908896148857,0,0,0,0,0,0,0,0,0.00371391764302561
Strombidiidae_X,0.000355094982130474,0.000284205057504324,0.000196981295448326,0.000115768349181773,0,0,7.73040018117399e-05,0.000162943614192895,0.000235370454577396,0,0.020892778103293
Strombidinopsis,0,0,0,0,0,0,0,0,0,0,0.000120954434961764
Strombidium,0.000178255525103416,0.000208172970276871,9.42333863412054e-05,0.000364616486611945,0.000315268197802756,0,0.000298719964459239,0.000238654501103475,0.000369263919174522,0.000247653924797025,0.0182765675689024
Subulatomonas,0,0,0,0,0,0,0,0,0,0,0.000143075515364288
Subulatomonas-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000296350536989836
Suctoria_XX,0,0,0,0,0,0,0,0,0,0,0.000366416089092309
Surirella,0,0,0,0,0,9.94647086357342e-05,0,0,0.000315295132752194,0,0
Syltodinium,0.000132552237103169,0.000258161037802041,0,0,0,0,0,0,0,0,0.00259886085054724
Synophrya,0,0,0,0,0,0,0,0,0,0,0.000216665544901969
Tabularia,0,0,0,0,0,0,0,0,0,0,0.00018358515754094
TAGIRI1-lineage_X,0,0,0,0,0,0,0,0,0,0,0.000794493696915012
Teleaulax,0.000332613443650332,0.000336197757360481,0.000254025204680003,9.35852330031081e-05,0,0,7.49490495028887e-05,8.34496387645967e-05,0,0.000217923864803765,0.0136960384605738
Telonema-Group-1,0,0,0,0,0,0,0,0,0,0,0.000175930909377799
Telonemia-Group-1_X,0,0,0,0,0.000598157711252396,0,0.00024491831060813,0,0,0,0.00925032554684192
Telonemia-Group-2_X,0,0,0,0,0,0,0,0,0,0,0.00030900428467648
Tetramitia_VI_4,0,0,0,0,0,0,0,0,0,0,9.7400987427468e-05
Tetraselmis,0.0470205484668362,0.0028844458338206,0.0107986014063125,0.0438210339037661,0.287772708841817,0.0578165933144816,0.216036427314556,0.152071599240864,0.0579401148576517,0.158901278735049,0.0298340048078161
Thalassiosira,0,0,0,0,0,0.000684275931144621,6.87977326397918e-05,0,0.000795332034851894,0,0.00138139197735877
Thalassomyxa,0,0,0,0,0,0,0,0,0,0,0.000424188200573474
Thaumatomastix,0,0,0,0,0,0,0,0,0,0,0.00288856946577582
Thaumatomonadida_XX,0,0,0,0,0,0,0,0,0,0,0.00122934581428168
Thaumatomonas,0.000136282014879066,0.000199489089763763,0,0,0,0,0,0,0,0,0
Thraustochytriaceae_HK10,0,0,0,0,0,0,0,0,0.000286266119536121,0.000336792850146771,0.00021491333258423
Thraustochytriaceae_LAB17,0,0,0,9.90902466009063e-05,0,0.000879680557529337,0.000875587945216502,0.000144239995207475,0.00136467094999643,0.00196056142315374,0.00857755526028846
Thraustochytriaceae_SEK690,0,0,0,0,0,0,3.42398413989504e-05,0,0,0,0.000257980527594188
Thraustochytrium,0,0,0,0,0,0,0,0,0,0,0.00104935445885506
Tintinnopsis_07,0,0,0,0,0,0,0,0,0,0,0.00152861604817367
Tisochrysis,0,0,0,7.70701918014741e-05,0.000839287138517337,0,0.000461034377026001,0,0,0.00019811260436615,0
Tripos,0,0,0,0,0,0,0,4.81440223641905e-05,0,0,0.00354386602930153
Uronema,6.37055284813566e-05,0.000135741658520744,0.000420782700808932,0.0041493612377599,0.00654971119811853,0.000346267086983777,0.000473986549326962,0,0.000525332185507809,0,8.88579647691159e-05
Uronemella,0,0.000451848480189201,0.000697710865109818,0,0,0,0,0,0.000160713782504926,0,0
Urotricha,0,0,0,0,0,0,0,0,0,0,0.000451692883485684
Vampyrellida_clade_B,0,0,0,0,0,0,0,0,0,0,0.000132163907523026
Vampyrellida_clade_C,0,0,0,0,0,0,0,0,0,0,0.000216018512529396
Vampyrellida_XX,0,0,0,0,0,0,0,0,0,0,0.000115382832237157
Vannella,0.00630364633703805,0.00739184218964781,0.0184973019915258,0.000181674573663609,0.000157610800023729,0.00427690596375313,0.00610646606942591,0,0.0109692440796174,0.00079245041766105,0.000286812992388461
Ventricleftida_XX,0,0,0,0,0,0,0,0,0,0,0.000569914840861816
Ventrifissura,0,0,0,0,0,0,0,0,0,0,0.000102071060303014
Warnowia,0,0,0,0,0,0,0,0,0,0,0.00046950994490351
